Book_title,Book_Author,Book_Tag,Challenged
The Horse and His Boy,C.S. Lewis,"Fiction, Young Adult, Childrens, Adventure, Middle Grade, Classics, Christian Fiction",0
Misguided Angel,Melissa de la Cruz,"Young Ault, Fantasy, Paranormal, Romance, Angels, Urban Fantasy",0
The Voyage of the Dawn Treader,C.S. Lewis,"Fantasy, Fiction, Classics, Young Adult, Childrens, Adventure, Christian",0
A Wrinkle in Time,Madeleine L'Engle,"Fantasy, Fiction, Classics, Young Adult, Science Fiction, Childrens, Middle Grade",0
Lost in Time,Melissa de la Cruz,"Vampires, Young Adult, Fantasy, Paranormal, Romance, Angels, Paranormal Romance",0
Spark,Brigid Kemmerer,"Young Adult, Paranormal, Fantasy, Romance, Supernatural, Paranormal Romance, Magic",0
Betrayals,Lili St. Crow,"Young Adult, Vampires, Paranormal, Fantasy, Urban Fantasy, Werewolves, Romance",0
Jealousy,Lili St. Crow,"Young Adult, Vampires, Paranormal, Fantasy, Urban Fantasy, Werewolves, Romance",0
Defiance,Lili St. Crow,"Young Adult, Vampires, Paranormal, Fantasy, Urban Fantasy, Werewolves, Romance",0
Red Rising,Pierce Brown,"Science Fiction, Fantasy, Fiction, Young Adult, Dystopia, Audiobook, Adult",0
The Hobbit,J.R.R. Tolkien,"Fantasy, Classics, Fiction, Adventure, Young Adult, High Fantasy, Science Fiction Fantasy",0
Ella Enchanted,Gail Carson Levine,"Fantasy, Young Adult, Fiction, Romance, Middle Grade, Childrens, Fairy Tales",0
The Lost Hero,Rick Riordan,"Young Adult, Mythology. Fiction. Middle Grade, Adventure, Greek Mythology, Childrens",0
The Little Prince,Antione de Saint-Exupery,"Classics, Fiction, Fantasy, Childrens. France, Philosophy, Young Adult",0
Bad Beginning ,Lemony Snicket,"Fiction. Young Adult, Childrens. Fantasy, Middle Grade, Mystery, Adventure",0
Ender's Game,Orson Scott Card,"Science Fiction, Fiction, Young Adult, Fantasy, Classics, Science Fiction Fantasy, Dystopia",0
Tuck Everlasting,Natalie Babbit,"Fantasy, Classics, Young Adult, Fiction, Childrens, Middle Grade, School",0
City of Ember,Jeanee DuPrau,"Young Adult, Dystopia, Fantasy, Science Fiction, Fiction, Middle Grade, Childrens",0
The Phantom Tollbooth,Norton Juster,"Fantasy, Fiction, Classics, Childrens, Young Adult, Middle Grade, Adventure",0
A Little Princess,Frances Hodge Burnett,"Classics, Fiction, Childrens, Young Adult, Historical Fiction, Middle Grade, Historical",0
Where the Red Fern Grows,Wilson Rawls,"Classics, Fiction, Young Adult, Childrens, Middle Grade, Historical Fiction, Animals",0
Howl's Moving Castle,Dians Wynne Jones,"Fantasy, Young Adult, Fiction, Romance, Middle Grade, Magic, Classics",0
A Great and Terrible Beauty,Libba Bray,"Fantasy, Young Adult, Historical Fiction, Fiction, Historical, Paranormal, Romance",0
Princess Academy,Shannon Hale,"Fantasy, Young Adult, Middle Grade, Fiction, Childrens, Romance, Fairy Tales",0
Beautiful Creatures,Kami Garcia,"Fantasy, Young Adult, Paranormal, Romance, Fiction, Magic, Supernatural",0
Because of Winn Dixie,Kate DiCamillo,"Fiction, Childrens, Middle Grade Realistic Fiction, Young Adult, Classics, Animals",0
Black Beauty,Anna Sewell,"Classics, Fiction, Childrens, Animals, Young Adult, Horses, Historical Fiction",0
Astrid Lindgren,Pippi Longstocking,"Classics, Childrens, Fiction, Middle Grade, Young Adult, Fantasy, Humor",0
Where the Sidewalk Ends,Shel Silverstein,"Poetry, Childrens, Classics, Fiction, Humor, Young Adult, Picture Books",0
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,"Fiction, Childrens. Young Adult, Middle Grade, Mystery, Classics Realistic Fiction",0
Flipped,Wendelin Van Draanen,"Young Adult, Romance, Fiction, Contemporary, Realistic Fiction, Middle Grade, Childrens",0
The Witch of Blackbird Pond,Elizabeth George Speare,"Historical Fiction, Young Adult, Fiction, Classics, Childrens, Historical, Middle Grade",0
The Chain Between Worlds,Johnathon Nicolaou,"Fantasy, Young Adult, Urban Fantasy, Fiction, Young Adult Fantas",0
Maniac Magee,Jerry Spinelli,"Young Adult, Fiction, Childrens, Middle Grade, Realistic Fiction, School, Classics",0
Wonder,R.J. Palacio,"Young Adult, Fiction, Middle Grade, Contemporary, Realistic Fiction, Childrens, School",0
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,"Fantasy, Young Adult, Fiction, Paranormal, Mystery, Horror, Historical Fiction",0
The Tale of Despereaux,Kate DiCamillo,"Fantasy, Fiction, Childrens, Middle Grade, Young Adult, Animals, Adventure",0
The Red Pyramid,Rick Riordan,"Fantasy, Mythology, Young Adult, Middle Grade, Fiction, Adventure, Childrens",0
An Abundance of Katherines,John Green,"Young Adult, Fiction, Contemporary, Romance, Realistic Fiction, Teen, Humor",0
Beastly,Alex Flinn,"Fantasy, Young Adult, Romance, Fairy Tales, Retellings, Fiction,  Paranormal",0
The Witches,Roald Dahl,"Fantasy, Childrens, Fiction, Classics, Middle Grade, Young Adult, Witches",0
James and the Giant Peach,Roald Dahl,"Childrens, Fantasy, Fiction, Young Adult, Middle Grade, Adventure",0
The Thief Lord,Cornelia Funke,"Fantasy, Young Adult, Fiction, Middle Grade, Childrens, Adventure, Mystery",0
A Separate Peace,John Knowles,"Classics, Fiction, Young Adult, Historical Fiction, School, Coming Of Age, High School",0
Diary of a Wimpy Kio,Jeff Kinney,"Fiction, Humor, Childrens, Middle Grade, Young Adult, Realistic Fiction, Graphic Novels",0
The Neverending Story,Michael Ende,"Fantasy, Classics, Fiction, Young Adult, Childrens, Adventure, German Literature",0
Call of the Wild,Jack London,"Classics, Fiction, Adventure, Young Adult, Animals, Historical Fiction, Literature",0
The BFG,Roald Dahl,"Fantasy, Childrens, Fiction, Classics, Middle Grade, Young Adult, Humor",0
Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,"Fantasy, Young Adult, Romance, Fairy Tales, Fiction, Retellings, Beauty and The Beast",0
Book of a Thousand Days,Shannon Hale,"Fantasy, Young Adult, Romance, Fiction, Fairy Tales, Retellings, Historical Fiction",0
The Knife of Never Letting Go,Patrick Ness,"Young Adult, Dystopia, Science Fiction, Fantasy, Fiction, Adventure, Teen",0
The 5th Wave,Rick Yancey,"Young Adult, Science Fiction, Dystopia, Fiction, Fantasy, Aliens, Romance",0
Gregor the Overlander,Suzanne Collins,"Fantasy, Young Adult, Middle Grade, Fiction, Adventure, Childrens, Juvenile",0
Little House in the Big Woods,Laura Ingalls Wilder,"Classics, Historical Fiction, Childrens, Fiction, Young Adult, Historical, Middle Grade",0
I Am the Messenger,Markus Zusak,"Young Adult, Fiction, Mystery, Contemporary, Realistic Fiction, Australia, Audiobook",0
The Alchemyst,Michael Scott,"Fantasy, Young Adult, Fiction, Magic, Mythology, Adventure, Middle Grade",0
Sideways Stories from Wayside School,Louis Sachar,"Childrens Fiction Humor, Middle Grade, Young Adult, Fantasy, Short Stories",0
The Amulet of Samarkand,Jonathan Stroud,"Fantasy, Young Adult, Fiction, Magic, Middle Grade, Childrens, Adventure",0
The Mysterious Benedict Society,Trenton Lee Stewart,"Mystery, Fiction, Middle Grade, Young Adult, Fantasy, Childrens, Adventure",0
Elsewhere,Gabrielle Zevin,"Young Adult, Fantasy, Fiction, Romance, Death, Teen, Paranormal",0
Shadowland,Meg Cabot,"Young Adult, Fantasy, Paranormal, Romance, Ghosts, Fiction, Supernatural",0
Dealing with Dragons,Patricia C. Wrede,"Fantasy, Young Adult, Dragons, Fiction, Middle Grade, Childrens, Magic",0
The Night Circus,Erin Morgenstern,"Fantasy, Fiction, Romance, Historical Fiction, Magical Realism, Magic, Young Adult",0
