Author,Book,Series Name (If Title is Part of a Series),Secondary Author(s),Illustrators,Translators,Type of Challenge,Challenge Initiated By,Initial Response,Challenge Notes,Decision,Are Restrictions Applied,Restriction Details,Library Type,Month,Year,State,School District,City,County,School Name,Library Name,Police Involved,Current Book Status,Date of Data Input,Article Links/Evidence Links,Article Links/Evidence Links,Article Links/Evidence Links,Article Links/Evidence Links,,,,,,,,,,,,,,,,,,,
"LaSala, Ryan",Reverie,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myracle, Lauren",Rhymes with Witches,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ryan, Pam Munoz",Riding Freedom,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cremer, Andrea",Rift,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jamieson, Victoria",Roller Girl,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lord, Cynthia",Rules,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elkeles, Simone",Rules of Attraction,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Rumble,,,,,,,,,,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shaw, Susan",Safe,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Borinsky, Agnes",Sasha Masha,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roleff, Tami L.",Satanism,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kozol, Jonathan",Savage Inequalities: Children in America's Schools,,,,,,,,,,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rainfield, Cheryl",Scars,,,,,,,,,,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roleff, Tamara L.",Sex (Teen Decision Series),,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mead, Richelle",Shadow Kiss: Vampire Academy,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myracle, Lauren",Shine,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stiefvater, Maggie",Shiver,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson, Laurie Halse",Shout,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keplinger, Kody",Shut Out,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miller, Frank",Sin City,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paulsen, Gary",Sisters = Hermanas,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vonnegut, Kurt",Slaughterhouse Five,,,,,,,Challenged - Location Unknown,,,,,School ,August,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vonnegut Jr., Kurt",Slaughterhouse-Five,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leyh, Kat",Snapdragon,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McCormick, Patricia",Sold,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McCormick, Patricia",Sold,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levithan, David",Someday,,,,,,,Challenged - Removed While Under Review,,,,,School ,November,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levithan, David",Someday,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dessen, Sarah",Someone Like You,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Celana, Marianne",Something Happened in Our Town,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doller, Trish",Something Like Normal,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blount, Patty",Somone I used to Know,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bird, Jackson","Sorted: Growing Up, Coming Out, and Finding My Place",,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kagawa, Julie",Soul of the Sword,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson, Laurie Halse",Speak,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson, Laurie Halse",Speak: The Graphic Novel,,,"Carroll, Emily",,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson, Laurie Halse",Speak: The Graphic Novel,,,"Carroll, Emily",,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Walden, Tillie",Spinning,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jacobson, Jennifer Richard",Stained,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reynolds, Jason ","Stamped (for kids): racism, antiracism, and you",,,,,,,,,,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kendi, Ibram X",Stamped from the Beginning,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schiffer, Miriam Baker",Stella Brings the Family,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gillman, Melanie",Steven Universe,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zarr, Sara",Story of a Girl,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zarr, Sara",Story of a Girl,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thrash, Maggie",Strange Truth,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brown, Rachel Manija",Stranger,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reynolds, Jason",Take the Mic,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trimmer, Christian",Teddy's Favorite Toy,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cast, P.C.",Tempted: A House of Night Novel,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lucas, Chad","Thanks a lot, Universe",,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Slater, Dashka",The 57 Bus,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Slater, Dashka",The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,,,"Forney, Ellen",,,,Challenged - Removed While Under Review,From district website - update late Jan,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fowley-Doyle, Moira",The Accident Season,,,,,,,Challenged - Location Unknown,Clay County Website With Links,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Williamson, Lisa",The Art of Being Normal,,,,,,,Challenged - Location Unknown,Clay County Website With Links,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stein, Garth",The Art of Racing in the Rain,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",The Assassin's Blade,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tynion, James IV",The Backstagers,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ransome, James E.",The Bell Rang,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sharenow, Robert",The Berlin Boxing Club,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lund, Cameron",The Best Laid Plans,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peck, Richard",The Best Man,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joseph, Frederick",The Black Friend,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joseph, Frederick",The Black Friend: On Being a Better White Person,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reed, Christina Hammonds",The Black Kids,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morrison, Toni",The Bluest Eye,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reed, Amy",The Boy and Girl Who Broke the World,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reed, Amy",The Boy and Girl Who Broke the World: A Novel,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Williams, David",The Boy in the Dress,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson, Cathy G.",The Breakaways,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson, Cathy G.",The Breakaways,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sell, Chad",The Cardboard Kingdom,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foley, Jessie Ann",The Carnival at Bray,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nazemian, Abdi",The Chandler Legacies,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kim, Dong Hwa",The Color of Earth,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Walker, Alice",The Color Purple,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hillstrom, Laurie Collier",The Constitution and the Bill of Rights,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Black, Holly",The Darkest Part of the Forest,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bodeen, S.A.",The Detour,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ramos, NoNieqa",The Disturbed Girl's Dictionary,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mead, Richelle",The Emerald Sea,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Klune, TJ",The Extraordinaries,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cole, Brock",The Facts Speak for Themselves,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green, John",The Fault in Our Stars,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McGinnis, Mindy",The Female of the Species,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baldwin, James",The Fire Next Time,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cawthon, Scott",The Fourth Closet: An AFK Book,,"Breed-Wrisley, Kira; Hastings, Christopher","Camero, DIana",,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee, Mackenzi",The Gentleman's Guide to Vice and Virtue,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee, Mackenzi",The Gentleman's Guide to Vice and Virtue ,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ostertag, Molly Knox",The Girl from the Sea,,,,,,,,,,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Durrow, Heidi W.",The Girl Who Fell from the Sky,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Locke, Katherine",The Girl with the Red Balloon,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Walls, Jeannette",The Glass Castle,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Walls, Jeannette",The Glass Castle,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mead, Richelle",The Glittering Court,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roy, Arundhati",The God of Small Things,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stamper, Phil",The Gravity of Us,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"White, Kiersten",The Guinevere Deception,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atwood, Margaret",The Handmaid's Tale,,,,,,,Challenged - Location Unknown,,,,,School ,August,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atwood, Margaret",The Handmaid's Tale,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas, Angie",The Hate U Give,,,,,,,,,,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrews, Jesse",The Haters,,,,,,,Challenged - Removed While Under Review,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrews, Jesse",The Haters,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Klune, TJ",The House in the Cerulean Sea,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allende, Isabel",The House of the Spirits: A Novel,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cisneros, Sandra",The House on Mango Street,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cisneros, Sandra",The House on Mango Street,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",The House that Wasn't There,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schwab, V. E.",The Invisible Life of Addie LaRue,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schwab, V.E.",The Invisible Life of Addie LaRue,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kagawa, Julie",The Iron Queen,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cokal, Susann",The Kingdom of Little Wounds,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hosseini, Khaled",The Kite Runner,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malle, Mirion",The League of Super Feminists,,,,"Jensen, Aleshia",,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stead, Rebecca",The List of Things That Will Not Change,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clare, Cassandra",The Lost Book of the White,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khan, Sabrina",The Love & Lies of Rukhsana Ali,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dietrich, Cale",The Love Interest,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sebold, Alice",The Lovely Bones,,,,,,,,,,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nguyen, Trung Le",The Magic Fish,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rutkoski, Maria",The Midnight Lie,,,,,,,,,Banned,,,School ,,,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lu, Marie",The Midnight Star,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Danforth, Emily M",The Miseducation of Cameron Post,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Konigsberg, Bill",The Music of What Happens,,,,,,,Challenged - Removed While Under Review,,,,,School ,January,2023,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koningsberg, Bill",The Music of What Happens,,,,,,,Challenged - Location Unknown,,,,,School ,July,2022,Florida,Clay County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
