Book_Author,Book_Title,Book_Tag,Challenge
Anna-Marie McLemore,Blanca & Roja,"Fantasy, Young Adult, Magical Realism, Retellings, LGBT, Romance, Queer",1
Anna-Marie McLemore,Dark and Deepest Red,"Fantasy, Young Adult, Historical Fiction, Retellings, LGBT, Magical Realism, Historical",1
Anna-Marie McLemore,When the Moon Was Ours,"Fantasy, Young Adult, Magical Realism, LGBT, Queer, Romance",1
Anne Fitzpatrick,The Renaissance,,1
Anne Rice,The Tale of the Body Thief,"Horror, Fantasy, Vampires, Fiction, Paranormal, Supernatural, Urban Fantasy",1
Anne Rockwell,"Hey, Charleston!: The True Story of the Jenkins Orphanage Band","Music, Picture Books, Nonfiction, Biography, African American, Cultural, American History",1
Anne Rooney,Zombies on the Loose,,1
Anne Wright,Mythology,,1
Annie Leibovitz,Annie Leibovitz at Work,"Photography, Nonfiction, Art, Biography, Memoir, Art and Photography, Reference",1
Annie Leibovitz,Women,"Photography, Art, Nonfiction, Feminism, Womens, Art and Photography",1
Anrenée Englander,"Dear diary, I'm Pregnant: Ten Real Life Stories",,1
Anri Yoshi,"My Hero Academia: School Briefs, Vol. 2: Training Camp","Manga, Light Novel, Fantasy, Young Adult, Science Fiction, Fiction, Action",1
Anri Yoshi,"My Hero Academia: School Briefs, Vol. 4: Festival for All","Manga, Light Novel, Fantasy, Science Fiction, Young Adult, Slice of Life, Fiction",1
Anri Yoshi,"My Hero Academia: School Briefs, Vol. 5: Celebrations","Manga, Light Novel, Superheroes, Young Adult, Fantasy",1
Anthony Allison,Hear These Voices: Youth at the Edge of the Millennium,"Banned Books, Nonfiction",1
April Daniels,Dreadnought,"Fantasy, Young Adult, LGBT, Queer, Superheroes, Fiction, Science Fiction",1
April Daniels,Sovereign,"Fantasy, Young Adult, LGBT, Queer, Science Fiction, Superheroes, Fiction",1
April Jones Prince,Who Was Frederick Douglass?,"Biography, Nonfiction, History, American History, Childrens, Middle Grade, African American",1
April Lurie,The Less-Dead,"Mystery, Young Adult, LGBT, Fiction, Religion, Teen, Queer",1
Arabelle Sicari,Queer Heroes: Meet 53 LGBTQ Heroes From Past to Present,"LGBT, Nonfiction, Biography, Queer, History, Childrens, Middle Grade",1
Archie Bongiovanni,A Quick & Easy Guide to They/Them Pronouns,"Nonfiction, Graphic Novels, LGBT, Queer, Comics, Gender, Transgender",1
Aree Chung,Mixed: A Colorful Story,"Picture Books, Childrens, Art, Storytime, Family, Cultural, Fiction",1
Ari Folman,Anne Frank's Diary: The Graphic Adaptation,"Graphic Novels, Nonfiction, History, Comics, Biography, Classics, Memoir",1
Ari North,Always Human,"Nonfiction, Romance, LGBT, Science Fiction, Comics, Lesbian, Young Adult",1
Arin Andrews,Some Assembly Required : The Not-So-Secret Life of a Transgender Teen,"Nonfiction, LGBT, Memoir, Queer, Transgender, Biography, Teen",1
Art Coulson,Unstoppable: How Jim Thorpe and the Carlisle Indian School Football Team Defeated Army,"Biography, Sports, Picture Books, Nonfiction, History, Childrens, Biography Memoir",1
Art Spiegelman,Maus 1: A Survivor's Tale: My Father Bleeds History,"Graphic Novels, Comics, History, Memoir, Holocaust, Biography",1
Art Spiegelman,Maus 2: And Here My Troubles Begin,"Graphic Novels, Comics, Nonfiction, History, Memoir, Holocaust, Biography",1
Art Spiegelman,The Complete Maus: A Survivor's Tale,"Graphic Novels, Comics, Nonfiction, History, Biography, Memoir, Historical",1
Arthur Dorros,Abuela,"Picture Books, Cultural, Childrens, Family, Spanish Literature, Fiction, Fantasy",1
Arundhati Roy,The God of Small Things,"Fiction, India, Historical Fiction, Classics, Contemporary, Literary Fiction, Indian Literature",1
Arvin Ahmadi,How It All Blew Up,"Young Adult, LGBT, Contemporary Romance, Queer, Fiction, Realistic Fiction",1
Ash Mardell,The ABC's of LGBT+,"Nonfiction, LGBT, Queer, Gender, Social Justice, Sexuality, Transgender",1
Ash Van Otterloo,Cattywampus,"Middle Grade, Fantasy, LGBT, Queer, Fiction, Witches, Intersex",1
Ashley Franklin,Not Quite Snow White,"Picture Books, Childrens, African American, Fiction, School, Fairy Tales, Family",1
Ashley Herring Blake,Girl Made of Stars,"Contemporary, Young Adult, LGBT, Fiction, Queer, Lesbian, Romance",1
Ashley Herring Blake,How to Make a Wish,"Contemporary, LGBT, Young Adult, Romance, Lesbian, Queer, Fiction",1
Ashley Herring Blake,Ivy Aberdeen's Letter to the World,"Middle Grade, LGBT, Contemporary, Realistic Fiction, Queer, Fiction, Young Adult",1
Ashley Herring Blake,La Carta de Ivy Aberdeen Al Mundo,"Middle Grade, LGBT, Contemporary, Realistic Fiction, Queer, Fiction, Young Adult",1
Ashley Herring Blake,The Mighty Heart of Sunny St. James,"Middle Grade, LGBT, Contemporary, Realistic Fiction, Queer, Romance, Fiction",1
Ashley Hope Pérez,Out of Darkness,"Historical Fiction, Young Adult, Banned Books, Fiction, Historical Fiction, Romance, Teen",1
Ashley Poston,Geekerella,"Young Adult, Romance, Contemporary, Retellings, Fiction, Audiobook, Young Adult Contemporary",1
Ashley Poston,The Princess and the Fangirl,"Young Adult, Romance, Contemporary, LGBT, Retellings, Audiobook, Fiction",1
Ashley Rhodes-Courter,Three Little Words: A Memoir,"Memoir, Nonfiction, Fostering, Adoption, Biography, Social Work, Biography Memoir",1
Atinuke,Anna Hibiscus,"Africa, Childrens, Chapter Books, Fiction, Realistic Fiction, Middle Grade, Family",1
Atsushi Ohkubo,"Fire Force, Vol. 1","Manga, Fantasy, Comics, Shonen, Graphic Novels, Fiction, Action",1
Audre Lorde,Sister Outsider: Essays and Speeches,"Feminism, Nonfiction, Essays, Race, LGBT, Queer, Social Justice",1
Audrey Bea,"Wait, What?: Illustrated Puns, Jokes, and Weird Questions",,1
Audrey Coulthurst,Of Fire and Stars,"Fantasy, LGBT, Young Adult, Romance, Queer, Lesbian, Fiction",1
