Book_Author,Book_Title,Series_Name,Book_Co_Author,Illustrators,Translators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,State,Sch_Dist,City,County,Sch_Name,Lib_Name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4
"Brugman, Alyssa",Alex as well,,,,,Response to Law,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Brugman, Alyssa",Alex as well,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Virginia,Fauquier County Public Schools,,,,,Unknown,,,,,,
"Vande Velde, Vivian","Alison, who went away",,,,,Response to Law,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Reynolds, Jason",All American Boys,,"Kiely, Brendan",,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,RETURNED - FL as 5/2022,,,,,
"Reynolds, Jason",All American Boys,,"Kiely, Brendan",,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,High School Library,Retained Restricted,Yes,School board requires parental consent,School ,,,Indiana,Middlebury Community Schools,,,,,Unknown,,,,,,
"Reynolds, Jason",All American Boys,,"Kiely, Brendan",,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,Middle School Library,Retained Restricted,Yes,School board requires parental consent,School ,,,Indiana,Middlebury Community Schools,,,,,Unknown,,,,,,
"Reynolds, Jason",All American Boys,,"Kiely, Brendan",,,Response to Law,Administration,Challenged - Location Unknown,,Still in Process,,,School ,,,Maine,Rangeley Lakes Regional School District,,,,,Unknown,,,,,,
"Reynolds, Jason",All American Boys,,"Kiely, Brendan",,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,RETAINED HS ONLY (7/2022),Retained Restricted,Yes,Requires parent permission,School ,,,Mississippi,Madison County Schools,,,,,Unknown,,,,,,
"Reynolds, Jason",All American Boys,,"Kiely, Brendan",,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,"""Profanity:",Retained Restricted,,Retained EXCEPT AYDEN MIDDLE SCHOOL,School ,,,North Carolina,Pitt County Schools,,,,,Unknown,,,,,,
"Reynolds, Jason",All American Boys,,"Kiely, Brendan",,,Formal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",Retained Restricted,Yes,remain in high school library`,School ,October,2021,Oklahoma,Bristow Public Schools,,,,,Unknown,,,,,,
"Reynolds, Jason",All American Boys,,"Kiely, Brendan",,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Pennsylvania,Warwick School District,,,,,Unknown,,,,,,
"Reynolds, Jason",All American Boys,,"Kiely, Brendan",,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,High School,Still in Process,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Reynolds, Jason",All American Boys,,"Kiely, Brendan",,,Response to Law,Administration,Challenged - Removed While Under Review,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Unknown,,,School ,,,Texas,Granbury Independent School District,,,,,Unknown,,,,,,
"Reynolds, Jason",All American Boys,,"Kiely, Brendan",,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Texas,Katy ISD,,,,,Unknown,,,,,,
"Reynolds, Jason",All American Boys,,"Kiely, Brendan",,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Morrison, Toni",ALL books,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,Teachers Pulled After SD rules,Retained Restricted,,Restricted Permanently,School ,,,Texas,Carroll Independent School District,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Arkansas,Fayetteville Public Schools,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Colorado,University Schools Middle and High School Libraries (Charter School),,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Informal Challenge,Administration,Challenged - Removed While Under Review,in quarentine - List 4,Unknown,,,School ,,,Florida,Brevard County Public Schools,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,"Removed after ""review"" per Board",Banned,,,School ,,,Florida,Clay County District Schools,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Formal Challenge,Board Member,Challenged - Removed While Under Review,removed permanently against district committee's recommendation,Banned,,,School ,,,Florida,Flagler School District,,,,,Unknown,,,,,,
"Telgemeier, Raina",Drama: A Graphic Novel,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,December,2021,Connecticut,Brookfield Schools,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Targeted During Board Meeting,Affiliation Unknown,Challenged - Location Unknown,,Retained Restricted,Yes,Complaints only in board meeting,School ,,,Florida,Hillsborough,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Unclear,Parent,Challenged - Removed While Under Review,"Mom instigating complaint is a member of Moms For Liberty

Status Change 2/22",Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,"1/12/22- DPHS Junior confirms book is unavailable to them though three copies are checked into their school library. By 2/8/22 meeting, the book was back on the shelf, but will undergo a 'Leadership' review",Unknown,,,School ,,,Florida,Orange County,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Targeted During Board Meeting,Administration,Challenged - Location Unknown,4/22 - Superintendent asked staff to pull from library,Unknown,,,School ,,,Florida,Osceola,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Georgia,Savannah-Chatham County Public School SYstem,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,Instructional Materials Reconsideration Committee voted to keep 12.14.21,Retained,,,School ,,,Iowa,Urbandale Community School District,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Removed,,,School ,,,Iowa,Waukee,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Iowa,West DesMoines Community Schools,,,,,Unknown,,,The Books Des Moines Suburbs Want to Ban In Schools,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Formal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,Retained; Challenged - Retained again 5/2022,Retained,,,School ,,,Kansas,Salina School District,,,,,Unknown,,,Salina School Board: Challenged book will remain in the library,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Retained,,,School ,,,Kansas,Shawnee Heights Unified School District 450,,,,,Unknown,,,,,,
"Kuklin, Susan",Beyond Magenta : Transgender Teens Speak Out,,,,,Unclear,Parent,Challenged - Removed While Under Review,violation of policy - parent emailed complaint - books pulled,Unknown,,,School ,October,2021,Utah,Canyons School District,,,,,Unknown,,,,,,
"Kobabe, Maia",Gender Queer: A Memoir,,,,,Unclear,Parent,Challenged - Removed While Under Review,violation of policy - parent emailed complaint - books pulled,Unknown,,,School ,October,2021,Utah,Canyons School District,,,,,Unknown,,,,,,
"Myracle, Lauren","L8R, G8R",,,,,Unclear,Parent,Challenged - Removed While Under Review,violation of policy - parent emailed complaint - books pulled,Unknown,,,School ,October,2021,Utah,Canyons School District,,,,,Unknown,,,,,,
"Evison, Jonathan",Lawn Boy,,,,,Unclear,Parent,Challenged - Removed While Under Review,violation of policy - parent emailed complaint - books pulled,Unknown,,,School ,October,2021,Utah,Canyons School District,,,,,Unknown,,,,,,
"Nabokov, Vladimir",Lolita,,,,,Unclear,Parent,Challenged - Removed While Under Review,violation of policy - parent emailed complaint - books pulled,Unknown,,,School ,October,2021,Utah,Canyons School District,,,,,Unknown,,,,,,
"Jackson, Tiffany D",Monday's Not Coming,,,,,Unclear,Parent,Challenged - Removed While Under Review,violation of policy - parent emailed complaint - books pulled,Unknown,,,School ,October,2021,Utah,Canyons School District,,,,,Unknown,,,,,,
"Perez, Ashley Hope",OUT OF DARKNESS,,,,,Unclear,Parent,Challenged - Removed While Under Review,violation of policy - parent emailed complaint - books pulled,Unknown,,,School ,October,2021,Utah,Canyons School District,,,,,Unknown,,,,,,
"Morrison, Toni",The Bluest Eye,,,,,Unclear,Parent,Challenged - Removed While Under Review,violation of policy - parent emailed complaint - books pulled,Unknown,,,School ,October,2021,Utah,Canyons School District,,,,,Unknown,,,,,,
"Sones, Sonya",The Opposite of Innocent,,,,,Unclear,Parent,Challenged - Removed While Under Review,violation of policy - parent emailed complaint - books pulled,Unknown,,,School ,October,2021,Utah,Canyons School District,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Still in Process,,,School ,,,Maine,Gorham School District,,,,,Unknown,,,,,,
"Finch, Michelle and Phoenix FInch",Phoenix Goes To School,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,Challenged - REtained in Elementary School,Retained,,,School ,July,2021,Indiana,Carmel  Clay Schools,,,,,Unknown,,,,,,
"Gyasi, Yaa",Homegoing,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,had been English/History assigned reading - removed,Removed - Curriculum,,,School ,July,2021,Indiana,Carmel  Clay Schools,,,,,Unknown,,,,,,
"Hopkins, Ellen",Crank,,,,,Unclear,Administration,Challenged - Removed While Under Review,"Removed due to ""age and lack of interest from students""",Weeded/Deselected,,,School ,July,2021,Indiana,Carmel  Clay Schools,,,,,Unknown,,,,,,
"Pardes, Bronwen","Doing it right : making
 smart, safe, and satisfying
 choices about sex",,,,,Unclear,Administration,Challenged - Removed While Under Review,"Removed due to ""age and lack of interest from students""",Weeded/Deselected,,,School ,July,2021,Indiana,Carmel  Clay Schools,,,,,Unknown,,,,,,
"Myracle, Lauren","L8R, G8R",,,,,Unclear,Administration,Challenged - Removed While Under Review,"Removed due to ""age and lack of interest from students""",Weeded/Deselected,,,School ,July,2021,Indiana,Carmel  Clay Schools,,,,,Unknown,,,,,,
"Myracle, Lauren",The Infinite Moment of Us,,,,,Unclear,Administration,Challenged - Removed While Under Review,"Removed due to ""age and lack of interest from students""",Weeded/Deselected,,,School ,July,2021,Indiana,Carmel  Clay Schools,,,,,Unknown,,,,,,
"Walton, Jessica",Introducing Teddy,,,,,Unclear,Affiliation Unknown,Challenged - Not in District/School or library institution,These two books were part of the complaint and part of the effort on the advisory committee to search for and they announced that they were not found - I think it's important but it might not be important to count here.,N/A,,,School ,July,2021,Indiana,Carmel  Clay Schools,,,,,Unknown,,,,,,
"Newman, Lesléa",Sparkle Boy,,,,,Unclear,Affiliation Unknown,Challenged - Not in District/School or library institution,These two books were part of the complaint and part of the effort on the advisory committee to search for and they announced that they were not found - I think it's important but it might not be important to count here.,Retained Restricted,,,School ,July,2021,Indiana,Carmel  Clay Schools,,,,,Unknown,,,,,,
"Harris, Robie H.","It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health 1994 VERSION",,,,,Unclear,Administration,Challenged - Location Unknown,"We'll call this the ""third way"" schools can choose to deal with troublesome books. I'd love to see the advisory committee notes on these decisions. BUT IS THIS SOMETHING YOU WANT COUNTED. 

Removed due to ""age and lack of interest from students""",Weeded/Deselected,,,School ,July,2021,Indiana,Carmel  Clay Schools,,,,,Unknown,,,,,,
"Maas, Sarah J.",A Court of Silver Flames,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,,Retained Restricted,Yes,Removed from Library,School ,July,2021,Indiana,Carmel  Clay Schools,,,,,Unknown,,,,,,
"Thompson, Craig",Blankets,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,July,2021,Indiana,Carmel  Clay Schools,,,,,Unknown,,,,,,
"Lukoff, Kyle",Call Me Max,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,,Retained Restricted,Yes,"AT Elementary School - moved to 'RESOURCE LIBRARY"" WHICH IS A COLLECTION ACCESSIBLE BY TEACHERS AND PARENTS TO REACH WITH CHILDREN",School ,July,2021,Indiana,Carmel  Clay Schools,,,,,Unknown,,,,,,
"Harris, Robie H.","It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health 2014 vERSION",,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,,Retained Restricted,Yes,Restricted Permanently,School ,July,2021,Indiana,Carmel  Clay Schools,,,,,Unknown,,,,,,
"Scheeres, Julia",Jesus Land: A Memoir,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,,Banned,,,School ,July,2021,Indiana,Carmel  Clay Schools,,,,,Unknown,,,,,,
"Devenny, Jenny",Race Cars,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,July,2021,Indiana,Carmel  Clay Schools,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Maryland,Worcester County Public Schools,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Michigan,Rochester Community Schools,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,Voted 11-1 to KEEP book,Unknown,,,School ,,,Missouri,Francis Howell,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Formal Challenge,Parent,Challenged - Removed While Under Review,"in all cases, the complaintant requested the book be REMOVED

Retained, no restrictions - parents Appealed to board - BANNED",Banned,,,School ,,,Missouri,Nixa Public Schools,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Formal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,Temporarily Removed while under review - returned to shelves,Returned,,,School ,,,Missouri,North Kansas City Schools,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,CHALLENGED TO BOARD - Appeal process upheld committee decision NOTE: individual parents can still restrict their children from reading,Retained,,,School ,,,Missouri,Rockwood,,,,,Unknown,,,,,,
"Johnson, George M.",All Boys Aren't Blue,,,,,Response to Law,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Missouri,St. Louis Region Schools,,,,,Unknown,,,,,,
